TA,Phase,Year,TotalStudies,Study#,Status,EDCBuilds,DBL,FinalTFL,PROTtoEDC_N,PROTtoEDC_Mean,PROTtoEDC_SD,PROTtoEDC_Median,PROTtoEDC_Min,PROTtoEDC_Max,LPLVtoDBL_N,LPLVtoDBL_Mean,LPLVtoDBL_SD,LPLVtoDBL_Median,LPLVtoDBL_Min,LPLVtoDBL_Max,DBLtoTFL_N,DBLtoTFL_Mean,DBLtoTFL_SD,DBLtoTFL_Median,DBLtoTFL_Min,DBLtoTFL_Max,NumCRF_N,NumCRF_Mean,NumCRF_SD,NumCRF_Median,NumCRF_Min,NumCRF_Max,NumQueries_N,NumQueries_Mean,NumQueries_SD,NumQueries_Median,NumQueries_Min,NumQueries_Max,NumTFLs_N,NumTFLs_Mean,NumTFLs_SD,NumTFLs_Median,NumTFLs_Min,NumTFLs_Max,NumMigrationLE2_N,NumMigrationLE2_n_1,NumMigrationLE2_perc,NumStudyDBUL_N,NumStudyDBUL_n_1,NumStudyDBUL_perc,NumTFLsLE250_N,NumTFLsLE250_n_1,NumTFLsLE250_perc
All,P2,2025,30,1,Completed,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
All,P2,2024,30,5,InitiatedStudies,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
All,P2,2022,30,5,InitiatedStudies,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
All,P2,2022,30,24,Ongoing,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
All,P2,2022,30,24,Ongoing,27,1,1,27,187.2963,91.21016,162,73,456,1,133,,133,133,133,1,5,,5,5,5,27,50.37037,16.267353,44,25,80,24,24656.084,29858.73,12873.5,465,115218,1,145,,145,145,145,27,6,0.22222222,30,0,0,1,1,1
All,P3,2022,17,2,Completed,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
All,P3,2022,17,2,Completed,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
All,P3,2022,17,2,InitiatedStudies,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
All,P3,2022,17,2,InitiatedStudies,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
All,P3,2022,17,13,Ongoing,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
All,P3,2022,17,13,Ongoing,17,4,2,17,136.58824,47.238834,127,65,240,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,17,52.058823,15.26217,53,32,75,17,123320,115966.67,122706,109,464066,2,216.5,51.618793,216.5,180,253,17,2,0.11764706,17,1,0,2,1,0.5
Inflammation,All,2024,9,1,Completed,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,All,2025,9,1,Completed,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,All,2024,9,1,InitiatedStudies,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,All,2025,9,1,InitiatedStudies,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,All,2024,9,7,Ongoing,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,All,2025,9,7,Ongoing,9,1,1,9,171.44444,106.10032,135,50,429,1,261,,261,261,261,1,78,,78,78,78,9,34.77778,8.800253,36,22,45,8,16972.375,39792.414,2307.5,663,115218,1,116,,116,116,116,9,3,0.33333334,9,0,0,1,1,1
Inflammation,P1,2024,5,1,Completed,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P1,2025,5,1,Completed,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P1,2024,5,1,InitiatedStudies,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P1,2025,5,1,InitiatedStudies,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P1,2024,5,3,Ongoing,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P1,2025,5,3,Ongoing,5,1,1,5,184.6,145.83655,129,50,429,1,261,,261,261,261,1,78,,78,78,78,5,30.4,9.633276,27,22,45,4,4177.5,3520.9604,2679.5,1932,9419,1,116,,116,116,116,5,2,0.4,5,0,0,1,1,1
Inflammation,P2,2024,4,0,Completed,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Inflammation,P2,2025,4,0,Completed,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Inflammation,P2,2024,4,0,InitiatedStudies,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Inflammation,P2,2023,4,0,InitiatedStudies,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Inflammation,P2,2023,4,4,Ongoing,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Inflammation,P2,2023,4,4,Ongoing,4,0,0,4,155,31.822424,154,122,190,0,,,,,,0,,,,,,4,40.25,3.304038,40,36,44,4,29767.25,56971.312,1594,663,115218,0,,,,,,4,1,0.25,4,0,0,0,0,
Oncology,All,2023,27,0,Completed,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,All,2023,27,0,Completed,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,All,2023,27,3,InitiatedStudies,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,All,2023,27,3,InitiatedStudies,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,All,2023,27,24,Ongoing,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,All,2023,27,24,Ongoing,26,2,0,26,152.38461,41.261196,150,75,240,0,,,,,,0,,,,,,26,64.65385,10.81829,67,32,80,26,61264.08,63566.633,36837.5,109,189091,0,,,,,,26,2,0.07692308,27,0,0,0,0,
Oncology,P1,2023,6,1,InitiatedStudies,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P1,2025,6,1,InitiatedStudies,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P1,2024,6,5,Ongoing,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P1,2025,6,5,Ongoing,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P1,2024,6,0,Completed,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P1,2025,6,0,Completed,6,0,0,6,113.666664,38.182022,101,75,171,0,,,,,,0,,,,,,6,62.833332,12.155931,64,49,79,6,15288.667,22914.416,6628.5,498,61058,0,,,,,,6,1,0.16666667,6,0,0,0,0,
Oncology,P2,2024,12,0,Completed,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P2,2025,12,0,Completed,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P2,2024,12,1,InitiatedStudies,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P2,2025,12,1,InitiatedStudies,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P2,2024,12,11,Ongoing,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P2,2025,12,11,Ongoing,11,0,0,11,170.90909,31.033707,162,142,240,0,,,,,,0,,,,,,11,67.72727,7.45776,67,51,80,11,35322.91,24505.557,36005,3083,83409,0,,,,,,11,0,0,12,0,0,0,0,
Oncology,P3,2024,9,0,Completed,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Oncology,P3,2025,9,0,Completed,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Oncology,P3,2024,9,1,InitiatedStudies,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Oncology,P3,2025,9,1,InitiatedStudies,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Oncology,P3,2024,9,8,Ongoing,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Oncology,P3,2025,9,8,Ongoing,9,2,0,9,155.55556,39.972214,143,112,240,0,,,,,,0,,,,,,9,62.11111,13.457753,69,32,75,9,123620.22,68289.76,133720,109,189091,0,,,,,,9,1,0.11111111,9,0,0,0,0,
Virology,All,2024,54,15,Completed,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,All,2025,54,15,Completed,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,All,2024,54,15,InitiatedStudies,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,All,2025,54,15,InitiatedStudies,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,All,2024,54,24,Ongoing,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,All,2025,54,24,Ongoing,49,15,15,49,119.36735,92.83872,85,15,456,15,138.4,59.155727,128,63,271,11,16.636364,10.414151,15,5,39,49,30.367348,9.9093685,28,12,53,41,29106,81816.5,4693,428,464066,15,203.33333,113.95718,151,102,493,49,22,0.4489796,54,1,0,15,12,0.8
Virology,P1,2024,32,12,Completed,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P1,2025,32,12,Completed,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P1,2024,32,10,InitiatedStudies,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P1,2025,32,10,InitiatedStudies,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P1,2024,32,10,Ongoing,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P1,2025,32,10,Ongoing,29,12,12,29,81.72414,47.25455,71,15,204,12,150,58.969948,128,79,271,8,19.125,10.9601555,16,8,39,29,24.413794,6.3443856,25,12,33,24,5223.4585,6229.322,3909,428,29587,12,206,126.242195,150.5,102,493,29,16,0.55172414,32,0,0,12,10,0.8333333
Virology,P2,2024,14,1,Completed,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P2,2025,14,1,Completed,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P2,2024,14,4,InitiatedStudies,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P2,2025,14,4,InitiatedStudies,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P2,2024,14,9,Ongoing,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P2,2025,14,9,Ongoing,12,1,1,12,213.08333,130.91528,164,73,456,1,133,,133,133,133,1,5,,5,5,5,12,37.833332,7.872083,38,25,49,9,9347.223,12736.523,3088,465,38857,1,145,,145,145,145,12,5,0.41666666,14,0,0,1,1,1
Virology,P3,2024,8,2,Completed,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
Virology,P3,2025,8,2,Completed,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
Virology,P3,2024,8,1,InitiatedStudies,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
Virology,P3,2025,8,1,InitiatedStudies,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
Virology,P3,2024,8,5,Ongoing,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
Virology,P3,2025,8,5,Ongoing,8,2,2,8,115.25,47.871105,107,65,211,2,71.5,12.020815,71,63,80,2,12.5,4.9497476,12.5,9,16,8,40.75,7.025464,38,34,53,8,122982.25,159401.84,54016,10132,464066,2,216.5,51.618793,216.5,180,253,8,1,0.125,8,1,0,2,1,0.5
